symbol,timestamp,open,high,low,close,volume,vwap
CAT,1722470400000,346.3,349.83,328.0794,331.52,3747881,
CAT,1722556800000,322.75,323.4,317.66,320.87,4246740,
CAT,1722816000000,309.0,320.58,307.05,316.8,4681329,
CAT,1722902400000,314.05,332.17,310.5,326.44,5071715,
CAT,1722988800000,333.51,335.18,324.45,325.8,3011727,
CAT,1723075200000,330.0,336.4299,327.61,336.16,2268337,
CAT,1723161600000,336.0,338.5,332.48,338.26,1668078,
CAT,1723420800000,338.26,339.845,333.595,336.03,2127606,
CAT,1723507200000,337.18,339.52,333.73,338.8,1503929,
CAT,1723593600000,339.6,341.79,334.6,337.59,1610888,
CAT,1723680000000,344.5,347.64,340.79,345.64,3232783,
CAT,1723766400000,345.25,345.84,340.7601,343.48,2483755,
CAT,1724025600000,343.68,346.1,343.3,344.65,2252755,
CAT,1724112000000,345.0,346.17,341.82,343.3,1479542,
CAT,1724198400000,344.58,345.6,341.85,342.97,1433163,
CAT,1724284800000,343.0,345.14,341.77,342.36,2021578,
CAT,1724371200000,344.97,349.5439,343.07,348.41,2183912,
CAT,1724630400000,349.81,354.41,348.935,351.16,1718059,
CAT,1724716800000,350.35,351.72,347.1,351.12,1211040,
CAT,1724803200000,350.59,354.43,345.84,348.2,1514474,
CAT,1724889600000,351.22,356.46,347.49,351.64,1664658,
CAT,1724976000000,352.59,356.24,349.83,356.1,2974052,
CAT,1725321600000,352.21,352.63,338.4001,340.24,3107219,
CAT,1725408000000,338.59,340.85,335.29,336.75,1679647,
CAT,1725494400000,336.02,336.485,330.56,333.56,2525491,
CAT,1725580800000,334.2,338.62,328.12,329.36,2676623,
CAT,1725840000000,333.91,336.36,332.97,334.04,2355801,
CAT,1725926400000,335.11,335.75,329.39,334.16,1869324,
CAT,1726012800000,333.0,335.48,326.11,335.0,1934695,
CAT,1726099200000,335.28,341.04,333.68,339.58,1747566,
CAT,1726185600000,342.42,347.22,340.3541,345.31,2518723,
CAT,1726444800000,348.35,351.46,344.29,347.96,1648247,
CAT,1726531200000,350.0,354.58,349.2352,353.69,2088589,
CAT,1726617600000,355.0,361.63,352.32,355.12,1990660,
CAT,1726704000000,363.0,374.69,361.27,373.31,4066612,
CAT,1726790400000,370.4,371.45,365.84,368.82,5440526,
CAT,1727049600000,368.99,372.97,366.975,371.17,2442816,
CAT,1727136000000,380.0,389.43,379.5,385.93,4024264,
CAT,1727222400000,387.0,388.64,377.92,378.25,2661536,
CAT,1727308800000,390.01,397.22,386.2,390.96,3906800,
CAT,1727395200000,391.0,395.56,389.1382,391.08,2683768,
CAT,1727654400000,389.38,392.755,386.82,391.12,2251585,
CAT,1727740800000,391.27,395.485,386.63,392.39,2091388,
CAT,1727827200000,391.98,395.66,388.6357,394.05,1768062,
CAT,1727913600000,392.34,394.0,388.72,391.09,1866089,
CAT,1728000000000,396.72,397.46,391.85,397.09,1675430,
CAT,1728259200000,396.45,401.17,396.1385,398.25,2224513,
CAT,1728345600000,394.26,395.0,384.8488,387.96,2438847,
CAT,1728432000000,388.17,396.6,387.5001,396.19,1757882,
CAT,1728518400000,395.18,396.96,390.5,396.64,1331845,
CAT,1728604800000,396.64,403.6,396.64,402.02,2110351,
CAT,1728864000000,393.39,396.29,386.87,393.95,3006132,
CAT,1728950400000,390.63,392.47,387.59,387.99,2715320,
CAT,1729036800000,387.4,394.6,386.925,393.62,1551797,
CAT,1729123200000,395.15,397.12,393.16,394.49,1561648,
CAT,1729209600000,396.25,396.45,389.72,393.86,3024091,
CAT,1729468800000,392.29,393.15,389.24,390.48,2376089,
CAT,1729555200000,389.73,391.29,385.725,388.46,1523872,
CAT,1729641600000,386.95,390.03,382.6933,385.73,1501236,
CAT,1729728000000,386.95,388.36,382.219,387.06,1844245,
CAT,1729814400000,389.61,392.03,384.31,385.97,1606883,
CAT,1730073600000,388.39,391.57,387.37,390.61,3213934,
CAT,1730160000000,389.5,389.6,385.55,387.51,2186415,
CAT,1730246400000,374.0,388.26,367.2,379.24,4037464,
CAT,1730332800000,377.35,378.9132,372.75,376.2,2394488,
CAT,1730419200000,378.07,383.265,376.94,379.63,1633361,
CAT,1730678400000,378.1,381.485,375.3,376.52,1793751,
CAT,1730764800000,377.13,386.07,375.65,383.37,1724115,
CAT,1730851200000,405.17,418.3041,404.01,416.88,4720049,
CAT,1730937600000,414.92,418.5,407.54,408.21,3211102,
CAT,1731024000000,400.96,403.06,392.4,393.37,3345862,
CAT,1731283200000,397.91,402.08,395.0101,396.54,1859182,
CAT,1731369600000,397.79,398.73,391.15,393.01,1737372,
CAT,1731456000000,388.95,391.2,385.67,387.07,2002200,
CAT,1731542400000,388.5,390.175,386.205,387.36,1372462,
CAT,1731628800000,385.99,388.49,382.2,384.07,2165453,
CAT,1731888000000,386.0,386.3,382.92,384.46,1626303,
CAT,1731974400000,378.03,383.25,378.03,382.33,1793407,
CAT,1732060800000,384.01,386.2,378.47,381.5,1859725,
CAT,1732147200000,383.92,392.02,379.0,389.59,1833547,
CAT,1732233600000,390.36,398.16,387.89,397.49,1893407,
CAT,1732492800000,400.0,407.15,400.0,405.65,4398020,
