symbol,timestamp,open,high,low,close,volume,vwap
LLY,1722470400000,833.62,840.89,820.18,832.44,4060732,
LLY,1722556800000,816.67,820.19,787.02,804.46,3515933,
LLY,1722816000000,758.0,792.9399,747.55,775.26,4661810,
LLY,1722902400000,789.14,806.2735,785.0,793.18,3437567,
LLY,1722988800000,778.3,786.58,763.0201,772.14,4407687,
LLY,1723075200000,875.0,877.78,825.24,845.31,9434851,
LLY,1723161600000,860.0,908.49,860.0,891.68,6587628,
LLY,1723420800000,904.21,904.72,883.0,884.38,4206064,
LLY,1723507200000,894.08,914.6943,890.33,908.05,3506767,
LLY,1723593600000,910.0,934.38,903.79,931.68,3562910,
LLY,1723680000000,936.0,937.955,920.0,931.58,3079984,
LLY,1723766400000,928.39,936.2969,919.39,922.12,2364894,
LLY,1724025600000,922.12,926.0,916.5001,921.81,2374554,
LLY,1724112000000,932.1,967.0,930.51,949.97,4961498,
LLY,1724198400000,955.615,956.5,939.17,951.97,2616984,
LLY,1724284800000,951.98,972.53,948.135,954.17,3183727,
LLY,1724371200000,955.44,960.5,943.11,952.74,2063309,
LLY,1724630400000,949.2,955.0,942.77,950.53,2166043,
LLY,1724716800000,952.5,972.48,949.95,954.48,2912853,
LLY,1724803200000,954.15,958.3399,943.26,948.94,1701760,
LLY,1724889600000,955.0,957.515,936.0,940.2,1762847,
LLY,1724976000000,945.0,961.0,940.51,960.02,2555073,
LLY,1725321600000,957.77,969.6499,951.5801,956.53,2529442,
LLY,1725408000000,949.75,954.0,938.005,946.31,1877534,
LLY,1725494400000,941.16,943.0,906.17,912.75,3201148,
LLY,1725580800000,917.76,927.9022,893.0,902.71,3439999,
LLY,1725840000000,912.57,915.4299,895.915,908.27,2405908,
LLY,1725926400000,914.11,915.11,895.0001,901.25,1930385,
LLY,1726012800000,902.15,921.54,897.2032,920.89,2721114,
LLY,1726099200000,924.31,937.62,918.63,935.02,2511788,
LLY,1726185600000,937.01,942.35,922.1,923.71,2045356,
LLY,1726444800000,931.13,932.605,920.43,923.54,1760296,
LLY,1726531200000,921.5,921.5,902.3,906.18,2248019,
LLY,1726617600000,906.31,915.5,903.46,904.97,1776976,
LLY,1726704000000,912.85,916.81,903.86,915.04,2446531,
LLY,1726790400000,921.99,939.86,913.2,921.49,9921754,
LLY,1727049600000,921.0,922.0,909.45,918.52,2291963,
LLY,1727136000000,922.12,925.68,909.2,924.43,2767434,
LLY,1727222400000,931.79,939.3,921.19,924.56,1805080,
LLY,1727308800000,920.255,921.85,905.3,909.32,2692979,
LLY,1727395200000,893.62,901.21,875.61,877.79,4377346,
LLY,1727654400000,864.52,887.4299,858.81,885.94,3246793,
LLY,1727740800000,888.83,891.2699,878.87,884.48,2455232,
LLY,1727827200000,880.0,893.3499,878.7,891.07,1751600,
LLY,1727913600000,889.54,892.0,880.88,885.55,1974677,
LLY,1728000000000,885.91,888.97,876.89,887.16,1971436,
LLY,1728259200000,890.51,905.275,889.565,898.4,2915667,
LLY,1728345600000,903.0,921.9682,902.225,913.72,2200027,
LLY,1728432000000,916.285,921.35,912.0,919.74,1820128,
LLY,1728518400000,920.0,922.0,905.15,910.69,1682053,
LLY,1728604800000,916.04,932.24,911.1845,932.06,2293874,
